job_titles,Creation date,employer,location,Job_Type
Process & Data Manager / MTM/Fertigungssteuerung (m/w/d) (Data Engineer),30/05/2023,Birkenstock Productions Hessen GmbH,Germany : Main-Kinzig-Kreis,Full-time
Consultant (m/w/d) Data & Analytics / SAC (Remote) (Data Engineer),26/05/2023,Windhoff Software Service GmbH,Germany : Borken,Full-time
Ingenieur Digitalisierung / Operations Data Architect (m/w/d) (Data Engineer),04/05/2023,Hexagon Purus GmbH,"Germany : Kassel, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Systeminformatiker/in),15/05/2023,DIS AG FB Office & Management,"Germany : Leipzig, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Ingenieurinformatiker/in),15/05/2023,FERCHAU GmbH Niederlassung Potsdam,"Germany : Potsdam, Kreisfreie Stadt",Full-time
Data Engineer (m/f/d) (Ingenieurinformatiker/in),23/12/2022,Kühne + Nagel (AG & Co.) KG,Germany : Hamburg,Full-time
Mitarbeiter Prozesstechnik (m/w/d) (Data Engineer),24/05/2023,DELTEC Automotive GmbH & Co. KG,Germany : Cham,Full-time
Value Architect (m/w/d) (Data Engineer),12/05/2023,Fressnapf Holding SE,"Germany : Krefeld, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Software-Architect),06/04/2023,Mühlbauer Group,Germany : Cham,Full-time
IT-Data Engineer (gn) (Wirtschaftsinformatiker/in (Hochschule)),15/05/2023,Westfalen Weser Netz GmbH,"Germany : Paderborn , Herford",Full-time
IT-Specialist Data Engineering and Business Intelligence (m/w/d) (Data Engineer),26/05/2023,Südzucker AG,"Germany : Mannheim, Stadtkreis",Full-time
Data Analyst*in (d/m/w) Einnahmesicherung und Auskehr (Data Engineer),22/05/2023,Toll Collect GmbH,Germany : Berlin,Full-time
Data Engineer / Data Warehouse Entwickler (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,REWE Digital GmbH,"Germany : Köln, Kreisfreie Stadt",Full-time
Social Media Data Engineer (m/w/d) (Data-Warehouse-Analyst/in),03/05/2023,ProTechnology GmbH,"Germany : Dresden, Kreisfreie Stadt",Full-time
Data Engineer (all genders) (Informatiker/in (Hochschule)),29/05/2023,Deutsche Lufthansa AG,"Germany : Groß-Gerau , Ingolstadt, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Stuttgart, Stadtkreis",Full-time
Data Engineer (all genders) (Informatiker/in (Hochschule)),15/05/2023,Deutsche Lufthansa AG,"Germany : Segeberg , Hamburg , Wolfsburg, Kreisfreie Stadt , Berlin",Full-time
Senior Data Engineer - Data Scientist (f/m/div.) (Informatiker/in (Hochschule)),11/05/2023,Robert Bosch GmbH,Germany : Esslingen,Full-time
(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),31/03/2023,PD Berater der öffentlichen Hand GmbH,"Germany : Frankfurt am Main, Kreisfreie Stadt , Berlin , Düsseldorf, Kreisfreie Stadt , Hamburg , Wiesbaden, Kreisfreie Stadt",Full-time
Senior Client Solution Engineer (m/w/d) Homeoffice (Data Engineer),15/05/2023,puro Personaldienstleistung GmbH,"Germany : Düsseldorf, Kreisfreie Stadt","Flexible,"
Medical Data Engineer / Data Scientist für die Klinische Sequenziereinheit (m/w/d) (Data Scientist),17/05/2023,Universitätsklinikum Regensburg,"Germany : Regensburg, Kreisfreie Stadt",Full-time
Data Engineer (w/m/d) (IT-Berater/in),02/05/2023,Procon-IT GmbH (Garching),"Germany : München, Landkreis",Full-time
Data Engineer (m/w/d) (IT-Berater/in),06/04/2023,IT-P GmbH,Germany : Region Hannover,Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),24/05/2023,engineering people GmbH,"Germany : Augsburg, Kreisfreie Stadt",Full-time
Data Engineer (w/m/d) (Informatiker/in (Hochschule)),22/05/2023,Hüttenwerke Krupp Mannesmann GmbH,"Germany : Duisburg, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),19/05/2023,FERCHAU GmbH Niederlassung Regensburg,Germany : Cham,Full-time
Data Engineer (m/f/d) (Informatiker/in (Hochschule)),16/05/2023,Deutsche Lufthansa AG,"Germany : Offenbach, Landkreis",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,Zollner Elektronik AG Werk Zandt,Germany : Cham,Full-time
Data Engineer (w/m/d) (Informatiker/in (Hochschule)),10/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),04/05/2023,Medizinischer Dienst Berlin-Brandenburg KdöR,Germany : Berlin,Full-time
Data Engineer (m/w/d) (Informatiker/in (Hochschule)),03/05/2023,Canon Production Printing Germany GmbH & Co. KG,Germany : Ebersberg,Full-time
Data Engineer (m/w/d) (Fachinformatiker/in - Anwendungsentwicklung),22/03/2023,Sievers SNC Computer und Software GmbH & Co. KG,"Germany : Osnabrück, Kreisfreie Stadt",Full-time
Data Architect/Engineer (m/w/d) - Machine Learning and AI | Executive Search | Mercedes-Benz (Data Engineer),22/05/2023,FERCHAU GmbH Niederlassung München Mobility,"Germany : Stuttgart, Stadtkreis",Full-time
Data Engineer (m/w/divers) (Informatiker/in (Hochschule)),30/05/2023,Deutsche Lufthansa AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (m/f/diverse) (Informatiker/in (Hochschule)),29/05/2023,Deutsche Lufthansa AG,"Germany : Offenbach, Landkreis",Full-time
Data Engineer (w/m/div.) (Informatiker/in (Hochschule)),18/05/2023,Robert Bosch GmbH,Germany : Reutlingen,Full-time
Power BI Analyst (m/w/d) (Data Engineer),10/05/2023,CG Elementum AG,Germany : Berlin,Full-time
Werkstudent - Genehmigung Umweltschutz (w/m/d) (Data Engineer),04/05/2023,Uniper SE,Germany : Region Hannover,Full-time
Senior Datenschutz Consultant (m/w/d) (Data Engineer),19/04/2023,MachCon Deutschland GmbH,Germany : Konstanz,Full-time
Mitarbeiter (m/w/d) Data Management SAP Stammdaten und Stücklisten (Data Engineer),31/03/2023,Rittal GmbH & Co. KG,Germany : Lahn-Dill-Kreis,Full-time
Junior BI & Datawarehouse Consultant (m/w/d) (Data Engineer),05/05/2023,T.CON GmbH & Co. KG,"Germany : Hamburg , Berlin , Deggendorf",Full-time
Data Engineer (m/w/d) (Ingenieur/in - Systems Engineering),26/05/2023,DAHMEN Personalservice GmbH,"Germany : Düsseldorf, Kreisfreie Stadt","Flexible,"
Consultant Data Engineer (m/w/d) (IT-Berater/in),16/05/2023,Cintellic GmbH,"Germany : Stuttgart, Stadtkreis , Berlin , Köln, Kreisfreie Stadt , Hamburg , Bonn, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , München, Kreisfreie Stadt",Full-time
Continental IT Graduate Program 2023 (Trainee): Data Science/ Cloud Solutions/ Software Engineering (Data Engineer),27/04/2023,Continental AG,Germany : Region Hannover,Full-time
Big Data Engineer (m/w/d) (Informatiker/in (Hochschule)),30/05/2023,FERCHAU GmbH Niederlassung Chemnitz,"Germany : Chemnitz, Kreisfreie Stadt",Full-time
Senior Data Engineer (m/f/d) (Informatiker/in (Hochschule)),30/05/2023,BASF Digital Solutions GmbH,"Germany : Ludwigshafen am Rhein, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) [Kziff. OK7352 ] (Datenbankentwickler/in),26/05/2023,L&W CONSOLIDATION GmbH,Germany : Rhein-Kreis Neuss,Full-time
Software/Data Engineer (m/w/d) (Ingenieur/in - Elektrotechnik),25/05/2023,Hays Professional Solutions GmbH Standort Ulm,Germany : Baden-Württemberg,Full-time
Senior Data Engineer (m/w/d) (Informatiker/in (Hochschule)),25/05/2023,outsourcing4work GmbH,Germany : Nordrhein-Westfalen,Full-time
(Senior) Data Engineer Analytics (m/w/d) (Softwareentwickler/in),23/05/2023,REWE Group,"Germany : Köln, Kreisfreie Stadt",Full-time
Data Engineer im Produktionsumfeld (m/w/d) (Ingenieurinformatiker/in),15/05/2023,DEKRA Arbeit GmbH,Germany : Ostalbkreis,Full-time
Senior Data Engineer (f/m/x) (Informatiker/in (Hochschule)),15/05/2023,BMW AG,"Germany : Ulm, Stadtkreis",Full-time
Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),11/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),11/05/2023,Deutsche Bahn AG,"Germany : München, Kreisfreie Stadt , Berlin , Bremen, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Hamburg",Full-time
Cloud Data Engineer (m/w/d) (Wirtschaftsinformatiker/in (Hochschule)),11/05/2023,BHS Corrugated M+A GmbH    ,Germany : Neustadt a. d. Waldnaab,Full-time
IOT Data Engineer (w/m/x) (Informatiker/in (Hochschule)),21/04/2023,BMW AG,"Germany : München, Kreisfreie Stadt",Full-time
Master Data Engineer (m/w/d) (Informatiker/in (Hochschule)),21/04/2023,BORA Lüftungstechnik GmbH,"Germany : Rosenheim, Landkreis",Full-time
Systemingenieur/ Consultant (m|w|d) - Datacenter und Cloud (Data Engineer),03/05/2023,pdv-systeme Sachsen GmbH,"Germany : Dresden, Kreisfreie Stadt , Leipzig, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) Qualitätssicherung (Fachkraft - Qualitätssicherung/-management),12/05/2023,FERCHAU GmbH Niederlassung München,"Germany : München, Kreisfreie Stadt",Full-time
Business Intelligence Analyst (m/w/d) (RN_U_221R207J) (Data Engineer),03/05/2023,b+p Beratung Personal Unternehmensberater,Germany : Regionalverband Saarbrücken,Full-time
Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),16/03/2023,amexus Informationstechnik GmbH & Co. KG,"Germany : Köln, Kreisfreie Stadt , Osnabrück, Landkreis , Münster, Kreisfreie Stadt , Borken , Unna , Paderborn",Full-time
Jr. Data Engineer - BI & Data Enablement (m/f/d) Hybrid Option GER (Softwareentwickler/in),25/05/2023,BASF Services Europe GmbH,Germany : Berlin,Full-time
Data Engineer Power Platform (m/w/d) (IT-Produktkoordinator/in),09/05/2023,thyssenkrupp Materials Trading GmbH,"Germany : Essen, Kreisfreie Stadt",Full-time
Datenbank-Entwickler / Data Engineer CRM (w/m/d). (Datenbankentwickler/in),30/05/2023,"m-result, the data company GmbH","Germany : Mainz, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) im Produktionsumfeld (Informatiker/in (Hochschule)),26/05/2023,Kirsch GmbH Personalmanagement,Germany : Ostalbkreis,Full-time
Senior Data Engineer Azure (w/m/d) (Wirtschaftsinformatiker/in (Hochschule)),19/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Product Owner Big Data Engineer (m/w/d) (Statistiker/in),19/05/2023,DER Touristik Deutschland GmbH,"Germany : Köln, Kreisfreie Stadt",Full-time
(Senior) Data Engineer Analytics (m/w/d) (Informatiker/in (Hochschule)),17/05/2023,REWE Group,"Germany : Köln, Kreisfreie Stadt",Full-time
Data Engineer DWH / BI (m/w/d) (Wirtschaftsinformatiker/in (Hochschule)),16/05/2023,FALKE KGaA,Germany : Hochsauerlandkreis,Full-time
Data Engineer Power Platform (w/m/d) (Informatiker/in (Hochschule)),10/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (IoT und Cloud) (m/w/d) (Datenbankentwickler/in),09/05/2023,Deuta-Werke GmbH,Germany : Rheinisch-Bergischer Kreis,Full-time
Data Engineer (m/w/d) Business Intelligence (Informatiker/in (Hochschule)),21/04/2023,BORA Lüftungstechnik GmbH,"Germany : Rosenheim, Landkreis",Full-time
(Senior) Data Engineer (m/f/diverse) @ AVIATAR (Informatiker/in (Hochschule)),22/05/2023,Deutsche Lufthansa AG,Germany : Hamburg,Full-time
Cloud Data Engineer (AWS/AZURE) (w/m/d) (IT-Berater/in),30/05/2023,Procon-IT GmbH (Garching),"Germany : München, Landkreis",Full-time
BI Data Engineer (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),25/05/2023,Deutsche Telekom AG Konzernzentrale,"Germany : Region Hannover , Hamburg , Wolfsburg, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) Digitalisierung im Produktionsumfeld (Wirtschaftsinformatiker/in (Hochschule)),19/05/2023,FERCHAU GmbH Niederlassung Stuttgart Mobility,Germany : Böblingen,Full-time
Data Engineer (m/w/d) Manufacturing Execution System (Ingenieur/in - Automatisierungstechnik),19/05/2023,AlphaConsult KG Gießen,"Germany : Frankfurt am Main, Kreisfreie Stadt","Flexible,"
SAP BW/4HANA Data Engineer (d/f/m) (Informatiker/in (Hochschule)),16/05/2023,Ottobock SE & Co. KGaA,Germany : Berlin,Full-time
SAP BW/4HANA Data Engineer (d/f/m) (Informatiker/in (Hochschule)),16/05/2023,Ottobock SE & Co. KGaA,Germany : Berlin,Full-time
Production Data Engineer m/w/d (Industriemeister/in - Digital- und Printmedien),27/04/2023,FLYERALARM GmbH,"Germany : Würzburg, Kreisfreie Stadt",Full-time
Data Engineer & Architect Azure Cloud (w/m/div.) (Informatiker/in (Hochschule)),25/05/2023,Robert Bosch GmbH,"Germany : Stuttgart, Stadtkreis",Full-time
Data Engineer & Architect Azure Cloud (w/m/div.) (Informatiker/in (Hochschule)),24/05/2023,Robert Bosch GmbH,"Germany : Ulm, Stadtkreis",Full-time
Data Engineer & Architect Azure Cloud (w/m/div.) (Informatiker/in (Hochschule)),24/05/2023,Robert Bosch GmbH,Germany : Main-Spessart,Full-time
Full Stack Web Engineer / Data Engineer (m/f/d) Printer Information Center (PIC) (Informatiker/in (Hochschule)),30/03/2023,Canon Production Printing Germany GmbH & Co. KG,Germany : Ebersberg,Full-time
MES-Administrator/Data Engineer Digital Manufacturing (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,Zollner Elektronik AG Werk Zandt,Germany : Cham,Full-time
Softwareentwickler und Data Engineer Industrie 4.0 (w/m/div.) (Wirtschaftsinformatiker/in (Hochschule)),30/05/2023,Robert Bosch GmbH,Germany : Oberallgäu,Full-time
Bearbeiter technisch logistischer Materialdaten (d/m/w) - AIRBUS - Manching - SOFORT (Data Engineer),25/05/2023,Bishop GmbH,Germany : Pfaffenhofen a. d. Ilm,Full-time
IT Consultant (w/m/d) für unser 4me Solution Consulting Team (Data Engineer),19/05/2023,blu Systems GmbH,"Germany : München, Landkreis",Full-time
MES-Administrator/Data Engineer Digital Manufacturing - DB (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,Zollner Elektronik AG Werk Zandt,Germany : Cham,Full-time
Data Engineer / Software Developer (m/w/d) im 5G Innovationsumfeld Telekommunikation (Softwareentwickler/in),04/05/2023,MicroNova AG,Germany : Dachau,Full-time
Datenbank-Entwickler / Data Engineer (m/w/d)Microsoft SQL (IT-System-Kaufmann/-frau),10/03/2023,Betriebskrankenkasse Linde,Germany : Konstanz,Full-time
Datenanalystin / einen Datenanalyst (Univ./Master) (w/m/d) BBRH-2023-0027 (Data Engineer),04/05/2023,Bundesrechnungshof,"Germany : Bonn, Kreisfreie Stadt","Part-time,"
Senior Data Engineer for Automotive Business (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),16/07/2022,Deutsche Telekom AG Konzernzentrale,"Germany : Bonn, Kreisfreie Stadt",Full-time
Senior Software & Data Engineer - Enabling Autonomous Driving Development (f/m/x) (Informatiker/in (Hochschule)),15/05/2023,BMW AG,"Germany : München, Kreisfreie Stadt",Full-time
Software / Data Engineer für Automationslösungen für Kfz-Diagnoseinformationen (w/m/div.) (Informatiker/in (Hochschule)),13/04/2023,Robert Bosch GmbH,Germany : Esslingen,Full-time
MES-Administrator/Data Engineer Digital Manufacturing - Visual Shop Floor (m/w/d) (Informatiker/in (Hochschule)),12/05/2023,Zollner Elektronik AG Werk Zandt,Germany : Cham,Full-time
"Informatiker, Physiker - Data Engineering, Data Warehouse (Informatiker/in (Hochschule))",20/05/2023,KEPPLER.Personalberatung,"Germany : Ludwigshafen am Rhein, Kreisfreie Stadt",Full-time
IT Architekt Data Analytics/ Data Engineering (w/m/d) (Software-Architect),23/05/2023,Capgemini Deutschland,"Germany : Region Hannover , München, Kreisfreie Stadt , Düsseldorf, Kreisfreie Stadt , Nürnberg, Kreisfreie Stadt , Hamburg , Köln, Kreisfreie Stadt , Berlin , Dortmund, Kreisfreie Stadt , Erfurt, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt",Full-time
(Senior) Berater Data Analytics/ Data Engineering (w/m/d) (IT-Systemanalytiker/in),23/05/2023,Capgemini Deutschland,"Germany : Hamburg , Frankfurt am Main, Kreisfreie Stadt , Nürnberg, Kreisfreie Stadt , Dortmund, Kreisfreie Stadt , Erfurt, Kreisfreie Stadt , Berlin , München, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Region Hannover , Düsseldorf, Kreisfreie Stadt",Full-time
Junior-Berater Data Analytics / Data Engineering (w/m/d) (IT-Berater/in),02/05/2023,Capgemini Deutschland GmbH,"Germany : Nürnberg, Kreisfreie Stadt , Region Hannover , Dortmund, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Esslingen , Berlin , Mettmann , Hamburg , München, Kreisfreie Stadt",Full-time
Senior Berater Data Analytics Data Engineering (w/m/d) (IT-Berater/in),02/05/2023,Capgemini Deutschland GmbH,"Germany : Hamburg , München, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Region Hannover , Nürnberg, Kreisfreie Stadt , Esslingen , Erfurt, Kreisfreie Stadt , Mettmann , Berlin , Frankfurt am Main, Kreisfreie Stadt",Full-time
Consultant (m/w/d) Microsoft Azure Data Engineering (Remote) (Data-Warehouse-Analyst/in),26/05/2023,Windhoff Software Service GmbH,Germany : Borken,"Flexible,"
Data Engineer:in (Informatiker/in (Hochschule)),16/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer:in (Informatiker/in (Hochschule)),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer:in (Informatiker/in (Hochschule)),11/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Projektleiter:in Data Engineering (Informatiker/in (Hochschule)),09/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt , Berlin , Hamburg , München, Kreisfreie Stadt",Full-time
Data Engineer:in Betrieb Fernverkehr (Wirtschaftsinformatiker/in (Hochschule)),19/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior DevOps/Data Engineer:in (Informatiker/in (Hochschule)),16/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Projektleiter Data Engineering (m/d/w) (Leiter/in - IT),20/05/2023,Deutsche Bahn AG,"Germany : München, Kreisfreie Stadt",Full-time
Senior Data Engineer:in (w/m/d) (Informatiker/in (Hochschule)),17/05/2023,Deutsche Bahn AG,"Germany : Mainz, Kreisfreie Stadt",Full-time
"Bioinformatician - Software, Data Engineering, MySQL, Python (Biologe/Biologin)",24/05/2023,Immatics Biotechnologies GmbH,"Germany : Tübingen, Landkreis",Full-time
Team Lead (w/m/d) Data Engineering (IT-Berater/in),02/05/2023,Procon-IT GmbH (Garching),"Germany : München, Landkreis",Full-time
(Senior) Data Engineer:in für AI Projekte (Informatiker/in (Hochschule)),11/05/2023,Deutsche Bahn AG,"Germany : Duisburg, Kreisfreie Stadt , Hamburg , Nürnberg, Kreisfreie Stadt , Dresden, Kreisfreie Stadt , Region Hannover , Köln, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Erfurt, Kreisfreie Stadt , München, Kreisfreie Stadt , Berlin",Full-time
Technical Data Engineering (m/w/d) - Maintenance TechData (Metallflugzeugbauer/in),16/05/2023,SimpleXX GmbH,Germany : Bayern,Full-time
Wissenschaftliche*r Mitarbeiter*in Digitale Produktion und Data Engineering (Recruiter),09/05/2023,Zentrale der Fraunhofer Gesellschaft e.V.,"Germany : Münster, Kreisfreie Stadt",Full-time
Informatiker*innen/Mathematiker*innen im Bereich Data Engineering (Wirtschaftsinformatiker/in (Hochschule)),30/05/2023,Deutsche Bundesbank,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Planer (m/w/d) Qualitäts-Systeme (Schwerpunkt Data Engineering) (Wirtschaftsinformatiker/in (Hochschule)),30/05/2023,Porsche Leipzig GmbH,Germany,Full-time
Technical Data Engineering Specialist (m/w/d) - IPC (Ingenieur/in - Luft- und Raumfahrttechnik),15/05/2023,SimpleXX GmbH,Germany : Bayern,Full-time
Software Developer Python- und Cloud-Architekturen mit Schwerpunkt Data Engineering (Softwareentwickler/in),16/05/2023,Dipl.-Ing Felix Aithnard Delphinco e.K.,"Germany : Baden-Baden, Stadtkreis",Full-time
