,job_titles,Creation date,employer,Job_Type,CountryName,Region
142,Data Engineer (m/w/d) (Software-Architect),2023-06-04,Mühlbauer Group,Full-time,Germany , Cham
143,IT-Data Engineer (gn) (Wirtschaftsinformatiker/in (Hochschule)),2023-05-15,Westfalen Weser Netz GmbH,Full-time,Germany , Paderborn 
143,IT-Data Engineer (gn) (Wirtschaftsinformatiker/in (Hochschule)),2023-05-15,Westfalen Weser Netz GmbH,Full-time,Germany ,Herford
144,IT-Specialist Data Engineering and Business Intelligence (m/w/d) (Data Engineer),2023-05-26,Südzucker AG,Full-time,Germany , Mannheim
144,IT-Specialist Data Engineering and Business Intelligence (m/w/d) (Data Engineer),2023-05-26,Südzucker AG,Full-time,Germany ,Stadtkreis
145,Data Analyst*in (d/m/w) Einnahmesicherung und Auskehr (Data Engineer),2023-05-22,Toll Collect GmbH,Full-time,Germany , Berlin
146,Data Engineer / Data Warehouse Entwickler (m/w/d) (Informatiker/in (Hochschule)),2023-12-05,REWE Digital GmbH,Full-time,Germany , Köln
146,Data Engineer / Data Warehouse Entwickler (m/w/d) (Informatiker/in (Hochschule)),2023-12-05,REWE Digital GmbH,Full-time,Germany ,Kreisfreie Stadt
147,Social Media Data Engineer (m/w/d) (Data-Warehouse-Analyst/in),2023-03-05,ProTechnology GmbH,Full-time,Germany , Dresden
147,Social Media Data Engineer (m/w/d) (Data-Warehouse-Analyst/in),2023-03-05,ProTechnology GmbH,Full-time,Germany ,Kreisfreie Stadt
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany , Groß-Gerau 
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Ingolstadt
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Kreisfreie Stadt 
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Köln
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Kreisfreie Stadt 
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Stuttgart
148,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Stadtkreis
149,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-15,Deutsche Lufthansa AG,Full-time,Germany , Segeberg 
149,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-15,Deutsche Lufthansa AG,Full-time,Germany ,Hamburg 
149,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-15,Deutsche Lufthansa AG,Full-time,Germany ,Wolfsburg
149,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-15,Deutsche Lufthansa AG,Full-time,Germany ,Kreisfreie Stadt 
149,Data Engineer (all genders) (Informatiker/in (Hochschule)),2023-05-15,Deutsche Lufthansa AG,Full-time,Germany ,Berlin
150,Senior Data Engineer - Data Scientist (f/m/div.) (Informatiker/in (Hochschule)),2023-11-05,Robert Bosch GmbH,Full-time,Germany , Esslingen
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany , Frankfurt am Main
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Kreisfreie Stadt 
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Berlin 
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Düsseldorf
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Kreisfreie Stadt 
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Hamburg 
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Wiesbaden
151,(Senior-) Consultant im Bereich Data Analytics (w/m/d) (Data Engineer),2023-03-31,PD Berater der öffentlichen Hand GmbH,Full-time,Germany ,Kreisfreie Stadt
152,Senior Client Solution Engineer (m/w/d) Homeoffice (Data Engineer),2023-05-15,puro Personaldienstleistung GmbH,"Flexible,",Germany , Düsseldorf
152,Senior Client Solution Engineer (m/w/d) Homeoffice (Data Engineer),2023-05-15,puro Personaldienstleistung GmbH,"Flexible,",Germany ,Kreisfreie Stadt
153,Medical Data Engineer / Data Scientist für die Klinische Sequenziereinheit (m/w/d) (Data Scientist),2023-05-17,Universitätsklinikum Regensburg,Full-time,Germany , Regensburg
153,Medical Data Engineer / Data Scientist für die Klinische Sequenziereinheit (m/w/d) (Data Scientist),2023-05-17,Universitätsklinikum Regensburg,Full-time,Germany ,Kreisfreie Stadt
154,Data Engineer (w/m/d) (IT-Berater/in),2023-02-05,Procon-IT GmbH (Garching),Full-time,Germany , München
154,Data Engineer (w/m/d) (IT-Berater/in),2023-02-05,Procon-IT GmbH (Garching),Full-time,Germany ,Landkreis
155,Data Engineer (m/w/d) (IT-Berater/in),2023-06-04,IT-P GmbH,Full-time,Germany , Region Hannover
156,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-24,engineering people GmbH,Full-time,Germany , Augsburg
156,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-24,engineering people GmbH,Full-time,Germany ,Kreisfreie Stadt
157,Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-05-22,Hüttenwerke Krupp Mannesmann GmbH,Full-time,Germany , Duisburg
157,Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-05-22,Hüttenwerke Krupp Mannesmann GmbH,Full-time,Germany ,Kreisfreie Stadt
158,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-19,FERCHAU GmbH Niederlassung Regensburg,Full-time,Germany , Cham
159,Data Engineer (m/f/d) (Informatiker/in (Hochschule)),2023-05-16,Deutsche Lufthansa AG,Full-time,Germany , Offenbach
159,Data Engineer (m/f/d) (Informatiker/in (Hochschule)),2023-05-16,Deutsche Lufthansa AG,Full-time,Germany ,Landkreis
160,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-12-05,Zollner Elektronik AG Werk Zandt,Full-time,Germany , Cham
161,Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-10-05,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
161,Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-10-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
162,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-04-05,Medizinischer Dienst Berlin-Brandenburg KdöR,Full-time,Germany , Berlin
163,Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-03-05,Canon Production Printing Germany GmbH & Co. KG,Full-time,Germany , Ebersberg
164,Data Engineer (m/w/d) (Fachinformatiker/in - Anwendungsentwicklung),2023-03-22,Sievers SNC Computer und Software GmbH & Co. KG,Full-time,Germany , Osnabrück
164,Data Engineer (m/w/d) (Fachinformatiker/in - Anwendungsentwicklung),2023-03-22,Sievers SNC Computer und Software GmbH & Co. KG,Full-time,Germany ,Kreisfreie Stadt
165,Data Architect/Engineer (m/w/d) - Machine Learning and AI | Executive Search | Mercedes-Benz (Data Engineer),2023-05-22,FERCHAU GmbH Niederlassung München Mobility,Full-time,Germany , Stuttgart
165,Data Architect/Engineer (m/w/d) - Machine Learning and AI | Executive Search | Mercedes-Benz (Data Engineer),2023-05-22,FERCHAU GmbH Niederlassung München Mobility,Full-time,Germany ,Stadtkreis
166,Data Engineer (m/w/divers) (Informatiker/in (Hochschule)),2023-05-30,Deutsche Lufthansa AG,Full-time,Germany , Frankfurt am Main
166,Data Engineer (m/w/divers) (Informatiker/in (Hochschule)),2023-05-30,Deutsche Lufthansa AG,Full-time,Germany ,Kreisfreie Stadt
167,Data Engineer (m/f/diverse) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany , Offenbach
167,Data Engineer (m/f/diverse) (Informatiker/in (Hochschule)),2023-05-29,Deutsche Lufthansa AG,Full-time,Germany ,Landkreis
168,Data Engineer (w/m/div.) (Informatiker/in (Hochschule)),2023-05-18,Robert Bosch GmbH,Full-time,Germany , Reutlingen
169,Power BI Analyst (m/w/d) (Data Engineer),2023-10-05,CG Elementum AG,Full-time,Germany , Berlin
170,Werkstudent - Genehmigung Umweltschutz (w/m/d) (Data Engineer),2023-04-05,Uniper SE,Full-time,Germany , Region Hannover
171,Senior Datenschutz Consultant (m/w/d) (Data Engineer),2023-04-19,MachCon Deutschland GmbH,Full-time,Germany , Konstanz
172,Mitarbeiter (m/w/d) Data Management SAP Stammdaten und Stücklisten (Data Engineer),2023-03-31,Rittal GmbH & Co. KG,Full-time,Germany , Lahn-Dill-Kreis
173,Junior BI & Datawarehouse Consultant (m/w/d) (Data Engineer),2023-05-05,T.CON GmbH & Co. KG,Full-time,Germany , Hamburg 
173,Junior BI & Datawarehouse Consultant (m/w/d) (Data Engineer),2023-05-05,T.CON GmbH & Co. KG,Full-time,Germany ,Berlin 
173,Junior BI & Datawarehouse Consultant (m/w/d) (Data Engineer),2023-05-05,T.CON GmbH & Co. KG,Full-time,Germany ,Deggendorf
174,Data Engineer (m/w/d) (Ingenieur/in - Systems Engineering),2023-05-26,DAHMEN Personalservice GmbH,"Flexible,",Germany , Düsseldorf
174,Data Engineer (m/w/d) (Ingenieur/in - Systems Engineering),2023-05-26,DAHMEN Personalservice GmbH,"Flexible,",Germany ,Kreisfreie Stadt
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany , Stuttgart
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Stadtkreis 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Berlin 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Köln
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Kreisfreie Stadt 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Hamburg 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Bonn
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Kreisfreie Stadt 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Frankfurt am Main
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Kreisfreie Stadt 
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,München
175,Consultant Data Engineer (m/w/d) (IT-Berater/in),2023-05-16,Cintellic GmbH,Full-time,Germany ,Kreisfreie Stadt
176,Continental IT Graduate Program 2023 (Trainee): Data Science/ Cloud Solutions/ Software Engineering (Data Engineer),2023-04-27,Continental AG,Full-time,Germany , Region Hannover
177,Big Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-30,FERCHAU GmbH Niederlassung Chemnitz,Full-time,Germany , Chemnitz
177,Big Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-30,FERCHAU GmbH Niederlassung Chemnitz,Full-time,Germany ,Kreisfreie Stadt
178,Senior Data Engineer (m/f/d) (Informatiker/in (Hochschule)),2023-05-30,BASF Digital Solutions GmbH,Full-time,Germany , Ludwigshafen am Rhein
178,Senior Data Engineer (m/f/d) (Informatiker/in (Hochschule)),2023-05-30,BASF Digital Solutions GmbH,Full-time,Germany ,Kreisfreie Stadt
179,Data Engineer (m/w/d) [Kziff. OK7352 ] (Datenbankentwickler/in),2023-05-26,L&W CONSOLIDATION GmbH,Full-time,Germany , Rhein-Kreis Neuss
180,Software/Data Engineer (m/w/d) (Ingenieur/in - Elektrotechnik),2023-05-25,Hays Professional Solutions GmbH Standort Ulm,Full-time,Germany , Baden-Württemberg
181,Senior Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-05-25,outsourcing4work GmbH,Full-time,Germany , Nordrhein-Westfalen
182,(Senior) Data Engineer Analytics (m/w/d) (Softwareentwickler/in),2023-05-23,REWE Group,Full-time,Germany , Köln
182,(Senior) Data Engineer Analytics (m/w/d) (Softwareentwickler/in),2023-05-23,REWE Group,Full-time,Germany ,Kreisfreie Stadt
183,Data Engineer im Produktionsumfeld (m/w/d) (Ingenieurinformatiker/in),2023-05-15,DEKRA Arbeit GmbH,Full-time,Germany , Ostalbkreis
184,Senior Data Engineer (f/m/x) (Informatiker/in (Hochschule)),2023-05-15,BMW AG,Full-time,Germany , Ulm
184,Senior Data Engineer (f/m/x) (Informatiker/in (Hochschule)),2023-05-15,BMW AG,Full-time,Germany ,Stadtkreis
185,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
185,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany , München
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Berlin 
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Bremen
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
186,Senior Data Engineer (w/m/d) (Informatiker/in (Hochschule)),2023-11-05,Deutsche Bahn AG,Full-time,Germany ,Hamburg
187,Cloud Data Engineer (m/w/d) (Wirtschaftsinformatiker/in (Hochschule)),2023-11-05,BHS Corrugated M+A GmbH    ,Full-time,Germany , Neustadt a. d. Waldnaab
188,IOT Data Engineer (w/m/x) (Informatiker/in (Hochschule)),2023-04-21,BMW AG,Full-time,Germany , München
188,IOT Data Engineer (w/m/x) (Informatiker/in (Hochschule)),2023-04-21,BMW AG,Full-time,Germany ,Kreisfreie Stadt
189,Master Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-04-21,BORA Lüftungstechnik GmbH,Full-time,Germany , Rosenheim
189,Master Data Engineer (m/w/d) (Informatiker/in (Hochschule)),2023-04-21,BORA Lüftungstechnik GmbH,Full-time,Germany ,Landkreis
190,Systemingenieur/ Consultant (m|w|d) - Datacenter und Cloud (Data Engineer),2023-03-05,pdv-systeme Sachsen GmbH,Full-time,Germany , Dresden
190,Systemingenieur/ Consultant (m|w|d) - Datacenter und Cloud (Data Engineer),2023-03-05,pdv-systeme Sachsen GmbH,Full-time,Germany ,Kreisfreie Stadt 
190,Systemingenieur/ Consultant (m|w|d) - Datacenter und Cloud (Data Engineer),2023-03-05,pdv-systeme Sachsen GmbH,Full-time,Germany ,Leipzig
190,Systemingenieur/ Consultant (m|w|d) - Datacenter und Cloud (Data Engineer),2023-03-05,pdv-systeme Sachsen GmbH,Full-time,Germany ,Kreisfreie Stadt
191,Data Engineer (m/w/d) Qualitätssicherung (Fachkraft - Qualitätssicherung/-management),2023-12-05,FERCHAU GmbH Niederlassung München,Full-time,Germany , München
191,Data Engineer (m/w/d) Qualitätssicherung (Fachkraft - Qualitätssicherung/-management),2023-12-05,FERCHAU GmbH Niederlassung München,Full-time,Germany ,Kreisfreie Stadt
192,Business Intelligence Analyst (m/w/d) (RN_U_221R207J) (Data Engineer),2023-03-05,b+p Beratung Personal Unternehmensberater,Full-time,Germany , Regionalverband Saarbrücken
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany , Köln
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Kreisfreie Stadt 
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Osnabrück
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Landkreis 
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Münster
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Kreisfreie Stadt 
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Borken 
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Unna 
193,Cloud Data Engineer Microsoft Azure (ag*) (IT-Berater/in),2023-03-16,amexus Informationstechnik GmbH & Co. KG,Full-time,Germany ,Paderborn
194,Jr. Data Engineer - BI & Data Enablement (m/f/d) Hybrid Option GER (Softwareentwickler/in),2023-05-25,BASF Services Europe GmbH,Full-time,Germany , Berlin
195,Data Engineer Power Platform (m/w/d) (IT-Produktkoordinator/in),2023-09-05,thyssenkrupp Materials Trading GmbH,Full-time,Germany , Essen
195,Data Engineer Power Platform (m/w/d) (IT-Produktkoordinator/in),2023-09-05,thyssenkrupp Materials Trading GmbH,Full-time,Germany ,Kreisfreie Stadt
196,Datenbank-Entwickler / Data Engineer CRM (w/m/d). (Datenbankentwickler/in),2023-05-30,"m-result, the data company GmbH",Full-time,Germany , Mainz
196,Datenbank-Entwickler / Data Engineer CRM (w/m/d). (Datenbankentwickler/in),2023-05-30,"m-result, the data company GmbH",Full-time,Germany ,Kreisfreie Stadt
197,Data Engineer (m/w/d) im Produktionsumfeld (Informatiker/in (Hochschule)),2023-05-26,Kirsch GmbH Personalmanagement,Full-time,Germany , Ostalbkreis
198,Senior Data Engineer Azure (w/m/d) (Wirtschaftsinformatiker/in (Hochschule)),2023-05-19,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
198,Senior Data Engineer Azure (w/m/d) (Wirtschaftsinformatiker/in (Hochschule)),2023-05-19,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
199,Product Owner Big Data Engineer (m/w/d) (Statistiker/in),2023-05-19,DER Touristik Deutschland GmbH,Full-time,Germany , Köln
199,Product Owner Big Data Engineer (m/w/d) (Statistiker/in),2023-05-19,DER Touristik Deutschland GmbH,Full-time,Germany ,Kreisfreie Stadt
200,(Senior) Data Engineer Analytics (m/w/d) (Informatiker/in (Hochschule)),2023-05-17,REWE Group,Full-time,Germany , Köln
200,(Senior) Data Engineer Analytics (m/w/d) (Informatiker/in (Hochschule)),2023-05-17,REWE Group,Full-time,Germany ,Kreisfreie Stadt
201,Data Engineer DWH / BI (m/w/d) (Wirtschaftsinformatiker/in (Hochschule)),2023-05-16,FALKE KGaA,Full-time,Germany , Hochsauerlandkreis
202,Data Engineer Power Platform (w/m/d) (Informatiker/in (Hochschule)),2023-10-05,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
202,Data Engineer Power Platform (w/m/d) (Informatiker/in (Hochschule)),2023-10-05,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
203,Data Engineer (IoT und Cloud) (m/w/d) (Datenbankentwickler/in),2023-09-05,Deuta-Werke GmbH,Full-time,Germany , Rheinisch-Bergischer Kreis
204,Data Engineer (m/w/d) Business Intelligence (Informatiker/in (Hochschule)),2023-04-21,BORA Lüftungstechnik GmbH,Full-time,Germany , Rosenheim
204,Data Engineer (m/w/d) Business Intelligence (Informatiker/in (Hochschule)),2023-04-21,BORA Lüftungstechnik GmbH,Full-time,Germany ,Landkreis
205,(Senior) Data Engineer (m/f/diverse) @ AVIATAR (Informatiker/in (Hochschule)),2023-05-22,Deutsche Lufthansa AG,Full-time,Germany , Hamburg
206,Cloud Data Engineer (AWS/AZURE) (w/m/d) (IT-Berater/in),2023-05-30,Procon-IT GmbH (Garching),Full-time,Germany , München
206,Cloud Data Engineer (AWS/AZURE) (w/m/d) (IT-Berater/in),2023-05-30,Procon-IT GmbH (Garching),Full-time,Germany ,Landkreis
207,BI Data Engineer (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),2023-05-25,Deutsche Telekom AG Konzernzentrale,Full-time,Germany , Region Hannover 
207,BI Data Engineer (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),2023-05-25,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Hamburg 
207,BI Data Engineer (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),2023-05-25,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Wolfsburg
207,BI Data Engineer (m/w/d) (IT-Projektleiter/in (Weiterbildung/Ausbildung)),2023-05-25,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Kreisfreie Stadt
208,Data Engineer (m/w/d) Digitalisierung im Produktionsumfeld (Wirtschaftsinformatiker/in (Hochschule)),2023-05-19,FERCHAU GmbH Niederlassung Stuttgart Mobility,Full-time,Germany , Böblingen
209,Data Engineer (m/w/d) Manufacturing Execution System (Ingenieur/in - Automatisierungstechnik),2023-05-19,AlphaConsult KG Gießen,"Flexible,",Germany , Frankfurt am Main
209,Data Engineer (m/w/d) Manufacturing Execution System (Ingenieur/in - Automatisierungstechnik),2023-05-19,AlphaConsult KG Gießen,"Flexible,",Germany ,Kreisfreie Stadt
